BookID,author,bookName,number,PreferentialPrice,press,price
11757204,沈复,浮生六记（汪涵推荐，全译本）, 01 ,22.10,天津人民出版社,32.00
11941728,贾平凹,自在独行：贾平凹的独行世界（陈坤推荐）, 02 ,28.10,长江文艺出版社,39.00
12092518,余光中,孤独是生命的礼物, 03 ,24.80,长江文艺出版社,36.00
12158696,沈复,浮生六记（汪涵推荐，作家榜出品未删节插图珍藏版）, 04 ,33.80,浙江文艺出版社,45.00
11687858,克莱儿·麦克福尔,摆渡人　【荐书联盟推荐】, 05 ,23.40,百花洲文艺出版社,36.00
12061335,北斗儿童地理,北斗童书·中国地图：跟爸爸一起去旅行（百科知识版）大开本、精装绘本, 06 ,46.80,山东省地图出版社,68.00
11712392,尼克·柯雷恩,北斗童书·世界地图：跟爸爸一起去旅行（百科知识版）大开本、精装绘本, 07 ,50.80,成都地图出版社,58.00
11825528,高铭,天才在左疯子在右完整版　[荐书联盟推荐], 08 ,28.40,北京联合出版公司,39.80
11678007,加·泽文,岛上书店　【荐书联盟推荐】, 09 ,24.50,江苏凤凰文艺出版社,35.00
11296756,山姆·麦克布雷尼,信谊绘本世界精选图画书：猜猜我有多爱你, 10 ,33.30,明天出版社,35.80
11452840,东野圭吾,解忧杂货店, 11 ,26.30,南海出版公司,39.50
11938782,夏洛特·佐罗托,凯迪克银奖绘本：暴风雨中的孩子（奇想国童书）, 12 ,22.60,浙江少年儿童出版社,32.80
11977623,拉尔夫·布奇科,北斗童书·德国经典专注力亲子游戏书（套装共3册）, 13 ,41.30,文化发展出版社,60.00
11781267,安东尼·德·圣-埃克苏佩里,小王子（纯美珍藏绘本）, 14 ,34.20,中央广播电视大学出版社,45.00
11236866,英国快乐瓢虫出版公司,小猪佩奇（套装全10册）, 15 ,82.50,安徽少年儿童出版社,120.00
12239650,余华,余华作品：活着, 16 ,21.00,作家出版社,28.00
12154081,故宫出版社,故宫日历2018（中文版）, 17 ,52.40,故宫出版社,76.00
12160627,大冰,我不 大冰2017新书, 18 ,26.80,湖南文艺出版社,39.00
11665816,英国DK出版社,DK儿童百科全书（精致版）, 19 ,68.30,四川少年儿童出版社,78.00
