剧集 , 传奇大亨 , http://r1.ykimg.com/0516000059CF46A6ADBC09697F0755B2 , 主演：张翰、贾青 , 更新至24集 , http://v.youku.com/v_show/id_XMzA2NzY4NzgxNg==.html , [剧集]传奇大亨 第1集  , 
剧集 , 传奇大亨 , http://r1.ykimg.com/0516000059CF46A6ADBC09697F0755B2 , 主演：张翰、贾青 , 更新至24集 , http://v.youku.com/v_show/id_XMzA2NDY3NjgzMg==.html , [剧集]传奇大亨 第2集  , 
剧集 , 传奇大亨 , http://r1.ykimg.com/0516000059CF46A6ADBC09697F0755B2 , 主演：张翰、贾青 , 更新至24集 , http://v.youku.com/v_show/id_XMzA2NDY3NzAyNA==.html , [剧集]传奇大亨 第3集  , 
剧集 , 传奇大亨 , http://r1.ykimg.com/0516000059CF46A6ADBC09697F0755B2 , 主演：张翰、贾青 , 更新至24集 , http://v.youku.com/v_show/id_XMzA2NDcwNDQ0MA==.html , [剧集]传奇大亨 第4集  , 
剧集 , 传奇大亨 , http://r1.ykimg.com/0516000059CF46A6ADBC09697F0755B2 , 主演：张翰、贾青 , 更新至24集 , http://v.youku.com/v_show/id_XMzA2NDcwNTM5Mg==.html , [剧集]传奇大亨 第5集  , 
剧集 , 传奇大亨 , http://r1.ykimg.com/0516000059CF46A6ADBC09697F0755B2 , 主演：张翰、贾青 , 更新至24集 , http://v.youku.com/v_show/id_XMzA2NzY4Nzg5Mg==.html , [剧集]传奇大亨 第6集  , 
剧集 , 传奇大亨 , http://r1.ykimg.com/0516000059CF46A6ADBC09697F0755B2 , 主演：张翰、贾青 , 更新至24集 , http://v.youku.com/v_show/id_XMzA4MDQ3ODMzMg==.html , [剧集]传奇大亨 第7集  , 
剧集 , 传奇大亨 , http://r1.ykimg.com/0516000059CF46A6ADBC09697F0755B2 , 主演：张翰、贾青 , 更新至24集 , http://v.youku.com/v_show/id_XMzA4MDQ3NzY4OA==.html , [剧集]传奇大亨 第8集  , 
剧集 , 传奇大亨 , http://r1.ykimg.com/0516000059CF46A6ADBC09697F0755B2 , 主演：张翰、贾青 , 更新至24集 , http://v.youku.com/v_show/id_XMzA4MDQ3Nzc0NA==.html , [剧集]传奇大亨 第9集  , 
剧集 , 传奇大亨 , http://r1.ykimg.com/0516000059CF46A6ADBC09697F0755B2 , 主演：张翰、贾青 , 更新至24集 , http://v.youku.com/v_show/id_XMzA4MDYyNjE4MA==.html , [剧集]传奇大亨 第10集  , 
剧集 , 传奇大亨 , http://r1.ykimg.com/0516000059CF46A6ADBC09697F0755B2 , 主演：张翰、贾青 , 更新至24集 , http://v.youku.com/v_show/id_XMzA4MDYzMTYyNA==.html , [剧集]传奇大亨 第11集  , 
剧集 , 传奇大亨 , http://r1.ykimg.com/0516000059CF46A6ADBC09697F0755B2 , 主演：张翰、贾青 , 更新至24集 , http://v.youku.com/v_show/id_XMzA4MDYzMTcxMg==.html , [剧集]传奇大亨 第12集  , 
剧集 , 传奇大亨 , http://r1.ykimg.com/0516000059CF46A6ADBC09697F0755B2 , 主演：张翰、贾青 , 更新至24集 , http://v.youku.com/v_show/id_XMzA4MDcxNTIyMA==.html , [剧集]传奇大亨 第13集  , 
剧集 , 传奇大亨 , http://r1.ykimg.com/0516000059CF46A6ADBC09697F0755B2 , 主演：张翰、贾青 , 更新至24集 , http://v.youku.com/v_show/id_XMzA4MDcxODM3Ng==.html , [剧集]传奇大亨 第14集  , 
